row_id,type,edges.1.from,message_text
msg.Here_are_some_s,send_message,start,Here are some services that might be able to help: 
msg.This_content_is,send_message,msg.Here_are_some_s,"This content is localised to your crisis context prior to deployment. For example: 

[Refugees and Asylum Information from UNHCR](https://help.unhcr.org/)

Local numbers for emergency support can go here. For example, [Nigeria's NCFRMI](https://www.ncfrmi.com/#)"
msg.Type_HELP_at_an,send_message,msg.This_content_is,Type HELP at any time if you would like the details of emergency services or other hotlines. Remember everything you say will be completely private!
